date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:26	169724/169724	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2008:54:17%20GMT	https://www.classcentral.com/report/	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/report/index.html	(from https://www.classcentral.com/)
15:39:26	4282/4282	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Mar%202023%2009:45:04%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=d9866ee3df3a50272132b746506802ee	C:/Users/User/PycharmProjects/ClassCentralCopy3/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-time3e68.png	(from https://www.classcentral.com/)
15:39:27	4168/4168	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Mar%202023%2010:06:16%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=6b9b3ca668420c3d807c332c51ee7f2c	C:/Users/User/PycharmProjects/ClassCentralCopy3/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-most-popular-of-all-time0931.png	(from https://www.classcentral.com/)
15:39:28	33057/33057	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Mar%202023%2005:55:41%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&h=420&ixlib=php-3.3.1&s=11c7448eb8908a8cc785e26ec27de650	C:/Users/User/PycharmProjects/ClassCentralCopy3/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-timec7ac.png	(from https://www.classcentral.com/)
15:39:29	198688/198688	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2010:04:39%20GMT	https://www.classcentral.com/report/most-popular-online-courses/	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/report/most-popular-online-courses/index.html	(from https://www.classcentral.com/)
15:39:31	153592/153592	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2010:04:57%20GMT	https://www.classcentral.com/report/best-free-online-courses-2021/	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/report/best-free-online-courses-2021/index.html	(from https://www.classcentral.com/)
15:39:32	35437/35437	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Mar%202023%2013:23:56%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&h=420&ixlib=php-3.3.1&s=8ddc221d6528da20924c85c064e17572	C:/Users/User/PycharmProjects/ClassCentralCopy3/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-most-popular-of-all-time45d9.png	(from https://www.classcentral.com/)
15:39:32	817468/817468	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2013:39:29%20GMT	https://www.classcentral.com/collection/ivy-league-moocs	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/collection/ivy-league-moocs.html	(from https://www.classcentral.com/)
15:39:33	145468/145468	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2010:04:54%20GMT	https://www.classcentral.com/report/best-free-online-courses-2022/	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/report/best-free-online-courses-2022/index.html	(from https://www.classcentral.com/)
15:39:34	6215/6215	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Feb%202023%2018:30:24%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=0d3af0d0d31cdbdc684a726b330a759f	C:/Users/User/PycharmProjects/ClassCentralCopy3/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social5b92.jpg	(from https://www.classcentral.com/)
